Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/PhotoAlbum.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/PhotoAlbum.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.9,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/PhotoAlbum.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/Services/PhotoService.cs,30,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"_allowedMimeTypes = _configuration.GetSection(""FileUpload:AllowedMimeTypes"").Get<string[]>()             ?? new[] { ""image/jpeg"", ""image/png"", ""image/gif"", ""image/webp"" };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/Services/PhotoService.cs,30,8,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"_allowedMimeTypes = _configuration.GetSection(""FileUpload:AllowedMimeTypes"").Get<string[]>()             ?? new[] { ""image/jpeg"", ""image/png"", ""image/gif"", ""image/webp"" };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/Program.cs,54,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PhotoAlbum/PhotoAlbum.csproj,File,PhotoAlbum/Program.cs,34,0,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var isTestEnvironment = app.Configuration.GetValue<bool>(""IsTestEnvironment"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,,,Microsoft.AspNetCore.Mvc.Testing 9.0.9,,,,,"Microsoft.AspNetCore.Mvc.Testing, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.Mvc.Testing, and replace with new package Microsoft.AspNetCore.Mvc.Testing 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.9,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.11"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,,,xunit 2.9.2,,,,,"xunit, 2.9.2  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,File,PhotoAlbum.Tests/PhotoAlbum.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
